title,company,salary_updated,environment,location_updated
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Fabrx Space,154962 - 165538 ,Remote,Remote
Data Scientist (Marketing),Penn Foster Group,Full-time,Remote,Remote
Junior Data Scientist,OGC Global,Full-time,Remote,Remote
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN"
Statistical Programmer Contractor,Joule,139360 - 166400,In-Person,"Tarrytown, NY"
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN"
Data Scientist,VivusTech,,In-Person,"Chantilly, VA"
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ"
Data Scientist,Bond Financial Technologies,,Remote,Remote
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
Senior Statistical Programmer - FSP,PHASTAR,Full-time,Remote,Remote
"Sr Distinguished Engineer, Generative AI Systems - (Remote- Eligible)",Capital One,Full-time,Remote,"Chicago, IL"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Senior Machine Learning Engineer,Capital One,Full-time,In-Person,"Richmond, VA"
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist (Marketing),Penn Foster Group,Full-time,Remote,Remote
Junior Data Scientist,OGC Global,Full-time,Remote,Remote
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN"
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN"
Data Scientist,VivusTech,,In-Person,"Chantilly, VA"
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ"
Data Scientist,Bond Financial Technologies,,Remote,Remote
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote
Data Scientist,Koddi,Full-time,Remote,Remote
"Director, Data Product Manager – Clinical Ops & Real-World Evidence",Bristol Myers Squibb,,Hybrid,"Princeton, NJ"
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ"
Data Scientist,Bond Financial Technologies,,Remote,Remote
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Machine Learning Development Program Associate - 2024,Capital One - Campus,Full-time,In-Person,"New York, NY"
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Junior Data Scientist,OGC Global,Full-time,Remote,Remote
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN"
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN"
Data Scientist,VivusTech,,In-Person,"Chantilly, VA"
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ"
Data Scientist,Bond Financial Technologies,,Remote,Remote
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Principal Statistical Programmer,Penfield Search Partners,Full-time,Hybrid,"Florham Park, NJ"
Data Scientist,Koddi,Full-time,Remote,Remote
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN"
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN"
Data Scientist,VivusTech,,In-Person,"Chantilly, VA"
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ"
Data Scientist,Bond Financial Technologies,,Remote,Remote
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
Statistician 1 - Medicare - Alzheimers - Full-time,Rush University Medical Center,Full-time,In-Person,"Chicago, IL"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Senior Investment Data Analyst,Vanguard,,In-Person,"Malvern, PA"
Data Scientist,Koddi,Full-time,Remote,Remote
Junior Data Scientist,OGC Global,Full-time,Remote,Remote
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN"
Data Scientist,VivusTech,,In-Person,"Chantilly, VA"
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ"
Data Scientist,Bond Financial Technologies,,Remote,Remote
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist,Vibronyx,,Remote,Remote
Salesforce AI Engineer,"CGI Group, Inc.",Full-time,Hybrid,"Hartford, CT"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Senior Data Scientist,WALGREENS,,In-Person,"Deerfield, IL"
Senior Data Scientist,EarthOptics,99400 - 167000 ,Remote,"Arlington, VA"
Data Scientist,Fabrx Space,154962 - 165538 ,Remote,Remote
Data Scientist (Marketing),Penn Foster Group,Full-time,Remote,Remote
Junior Data Scientist,OGC Global,Full-time,Remote,Remote
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN"
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN"
Data Scientist,VivusTech,,In-Person,"Chantilly, VA"
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ"
Data Scientist,Bond Financial Technologies,,Remote,Remote
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL"
Data Scientist,Bilin Technology,,In-Person,"Boston, MA"
"Sr Distinguished Engineer, Generative AI Systems - (Remote- Eligible)",Capital One,Full-time,Remote,"San Francisco, CA"
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX"
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA"
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA"
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI"
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Lead Engineer - Generative AI Product Engineering (Remote-Eligible),Capital One,Full-time,Remote,"Plano, TX"
Data Scientist,Mashvisor Inc.,,Remote,Remote
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA"
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
"Senior Manager, Statistical Programming",Takeda Pharmaceutical,Full-time,Remote,"Lexington, MA"
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY"
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA"
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI"
ML Engineer,"Yoh, A Day & Zimmermann Company",114400 - 176800,Remote,"San Jose, CA"
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA"
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI"
"Senior Manager, Statistical Programmer",Takeda Pharmaceutical,130500 - 186000 ,Hybrid,"Boston, MA"
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Information Systems - Sr Data Analyst,Hajoca Corporation,90000 - 100000 ,In-Person,"Lafayette Hill, PA"
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA"
ML Engineer,"Vizient, Inc.",102400 - 152200 ,In-Person,"Irving, TX"
Data Scientist,Koddi,Full-time,Remote,Remote
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote
"Sr. Data Scientist- Risk Modeler, AVP - Hybrid",Citi,93200 - 139800 ,In-Person,"Elk Grove Village, IL"
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA"
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA"
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI"
Lead Engineer - Generative AI Product Engineering (Remote-Eligible),Capital One,Full-time,Remote,"Wilmington, DE"
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA"
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI"
"Principal Software Engineer, Machine Learning Engineering",Experis,Full-time,In-Person,"Richmond, VA"
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA"
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI"
"(Hybrid) Assistant Vice President, Machine Learning and Advanced Analytics - San Antonio Texas",PenFed Credit Union,Full-time,In-Person,"San Antonio, TX"
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN"
Data Scientist,Vibronyx,,Remote,Remote
Healthcare Data Scientist,Inovalon,,Remote,Remote
Data Scientist,Health Intelligence company LLC,,Remote,United States
Data Scientist,Cartwheel,200000 ,Remote,Remote
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN"
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA"
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY"
Data Scientist,Trella Health,,Remote,Remote
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote
Senior Data Analyst,Liberty Personnel Services,115000 ,In-Person,"Philadelphia, PA"
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA"
Senior Data Analyst,Vanguard,,In-Person,"Charlotte, NC"
Front-end Developer (Graphic Design and UX/UI Focus) - NLP Space,Confidential,Full-time,Hybrid,"Redmond, WA"
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY"
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC"
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN"
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY"
Data Scientist,PROLIM Corporation,156000 - 166400,Remote,Remote
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA"
Data Scientist,Assetario,,Remote,Remote
Data Scientist,FLEETCOR,Full-time,Remote,"Atlanta, GA"
Data Scientist,VitalCORE,,Remote,Remote
Principal AI/ML Engineer,CNA Insurance,Full-time,In-Person,"Chicago, IL"
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY"
Data Scientist,Mashvisor Inc.,,Remote,Remote
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Predictive Modeling Analyst,NJM Insurance,89000 - 113000 ,Hybrid,"Trenton, NJ"
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC"
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN"
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote
"Senior Level AI/ML Modeling, Simulation and Analysis Engineer",Peraton,112000 - 179000 ,In-Person,"Chantilly, VA"
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY"
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI"
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY"
Data Scientist,Mashvisor Inc.,,Remote,Remote
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC"
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN"
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote
AWS Machine Learning Engineer,"CGI Group, Inc.",Full-time,In-Person,"Nashville, TN"
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY"
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI"
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY"
Data Scientist,Mashvisor Inc.,,Remote,Remote
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC"
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN"
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY"
"Sr. Director, Product Manager – Clinical Data Ecosystem",Bristol Myers Squibb,,Hybrid,"Princeton, NJ"
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY"
Data Scientist,Mashvisor Inc.,,Remote,Remote
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC"
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN"
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote
Data Scientist,PROLIM Corporation,156000 - 166400,Remote,Remote
"Sr. Director, Product Manager – Clinical Data Ecosystem",Bristol Myers Squibb,,Hybrid,"Princeton, NJ"
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY"
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY"
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN"
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY"
Data Scientist,Mashvisor Inc.,,Remote,Remote
Data Scientist,NICE,,In-Person,"Atlanta, GA"
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC"
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN"
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote
