title,company,salary_updated,environment,location_updated,salary_min,salary_max
Data Scientist,Bond Financial Technologies,,Remote,Remote,0,0
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL",75900,141456
Data Scientist,Bilin Technology,,In-Person,"Boston, MA",0,0
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA",0,0
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX",0,0
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote,110000,113000
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote,80000,120000
Data Scientist,Koddi,Full-time,Remote,Remote,0,0
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Machine Learning Development Program Associate - 2024,Capital One - Campus,Full-time,In-Person,"New York, NY",0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Junior Data Scientist,OGC Global,Full-time,Remote,Remote,0,0
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN",91000,91000
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN",113900,188000
Data Scientist,VivusTech,,In-Person,"Chantilly, VA",0,0
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ",0,0
Data Scientist,Bond Financial Technologies,,Remote,Remote,0,0
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL",75900,141456
Data Scientist,Bilin Technology,,In-Person,"Boston, MA",0,0
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA",0,0
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX",0,0
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote,110000,113000
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote,80000,120000
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Principal Statistical Programmer,Penfield Search Partners,Full-time,Hybrid,"Florham Park, NJ",0,0
Data Scientist,Koddi,Full-time,Remote,Remote,0,0
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN",91000,91000
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN",113900,188000
Data Scientist,VivusTech,,In-Person,"Chantilly, VA",0,0
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ",0,0
Data Scientist,Bond Financial Technologies,,Remote,Remote,0,0
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL",75900,141456
Data Scientist,Bilin Technology,,In-Person,"Boston, MA",0,0
Statistician 1 - Medicare - Alzheimers - Full-time,Rush University Medical Center,Full-time,In-Person,"Chicago, IL",0,0
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA",0,0
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX",0,0
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote,110000,113000
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote,80000,120000
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Senior Investment Data Analyst,Vanguard,,In-Person,"Malvern, PA",0,0
Data Scientist,Koddi,Full-time,Remote,Remote,0,0
Junior Data Scientist,OGC Global,Full-time,Remote,Remote,0,0
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN",91000,91000
Data Scientist,VivusTech,,In-Person,"Chantilly, VA",0,0
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ",0,0
Data Scientist,Bond Financial Technologies,,Remote,Remote,0,0
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL",75900,141456
Data Scientist,Bilin Technology,,In-Person,"Boston, MA",0,0
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA",0,0
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX",0,0
Data Scientist,Konnectingtree,110000 - 113000 ,Remote,Remote,110000,113000
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote,80000,120000
Data Scientist,Koddi,Full-time,Remote,Remote,0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Salesforce AI Engineer,"CGI Group, Inc.",Full-time,Hybrid,"Hartford, CT",0,0
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Senior Data Scientist,WALGREENS,,In-Person,"Deerfield, IL",0,0
Senior Data Scientist,EarthOptics,99400 - 167000 ,Remote,"Arlington, VA",99400,167000
Data Scientist,Fabrx Space,154962 - 165538 ,Remote,Remote,154962,165538
Data Scientist (Marketing),Penn Foster Group,Full-time,Remote,Remote,0,0
Junior Data Scientist,OGC Global,Full-time,Remote,Remote,0,0
Digital & Technology - Data Science - Campus Recruiting,General Mills,91000 ,Remote,"Minneapolis, MN",91000,91000
Data Engineer,"The Travelers Companies, Inc.",113900 - 188000 ,In-Person,"Saint Paul, MN",113900,188000
Data Scientist,VivusTech,,In-Person,"Chantilly, VA",0,0
Data Scientist,FanDuel,,Hybrid,"Jersey City, NJ",0,0
Data Scientist,Bond Financial Technologies,,Remote,Remote,0,0
2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,75900 - 141456 ,In-Person,"Chicago, IL",75900,141456
Data Scientist,Bilin Technology,,In-Person,"Boston, MA",0,0
"Sr Distinguished Engineer, Generative AI Systems - (Remote- Eligible)",Capital One,Full-time,Remote,"San Francisco, CA",0,0
Data Scientist,Triple-S Steel,Full-time,In-Person,"Houston, TX",0,0
Data Scientist,Govini,Full-time,In-Person,"Pittsburgh, PA",0,0
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY",83000,96000
Data Scientist,Trella Health,,Remote,Remote,0,0
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote,135200,145600
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA",145600,166400
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY",150000,200000
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote,68000,191000
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI",0,0
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY",0,0
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN",0,0
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,NICE,,In-Person,"Atlanta, GA",0,0
Lead Engineer - Generative AI Product Engineering (Remote-Eligible),Capital One,Full-time,Remote,"Plano, TX",0,0
Data Scientist,Mashvisor Inc.,,Remote,Remote,0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY",83000,96000
Data Scientist,Trella Health,,Remote,Remote,0,0
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote,135200,145600
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA",145600,166400
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY",150000,200000
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote,68000,191000
"Senior Manager, Statistical Programming",Takeda Pharmaceutical,Full-time,Remote,"Lexington, MA",0,0
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY",0,0
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI",0,0
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY",83000,96000
Data Scientist,Trella Health,,Remote,Remote,0,0
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote,135200,145600
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA",145600,166400
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY",150000,200000
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI",0,0
ML Engineer,"Yoh, A Day & Zimmermann Company",114400 - 176800,Remote,"San Jose, CA",114400,176800
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote,68000,191000
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY",83000,96000
Data Scientist,Trella Health,,Remote,Remote,0,0
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote,135200,145600
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA",145600,166400
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY",150000,200000
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI",0,0
"Senior Manager, Statistical Programmer",Takeda Pharmaceutical,130500 - 186000 ,Hybrid,"Boston, MA",130500,186000
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote,68000,191000
Data Scientist,FAST GROWING TREES LLC,80000 - 120000 ,Remote,Remote,80000,120000
Data Scientist,Koddi,Full-time,Remote,Remote,0,0
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY",83000,96000
Data Scientist,Trella Health,,Remote,Remote,0,0
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote,135200,145600
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY",150000,200000
Information Systems - Sr Data Analyst,Hajoca Corporation,90000 - 100000 ,In-Person,"Lafayette Hill, PA",90000,100000
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA",145600,166400
ML Engineer,"Vizient, Inc.",102400 - 152200 ,In-Person,"Irving, TX",102400,152200
Data Scientist,Koddi,Full-time,Remote,Remote,0,0
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY",83000,96000
Data Scientist,Trella Health,,Remote,Remote,0,0
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote,135200,145600
"Sr. Data Scientist- Risk Modeler, AVP - Hybrid",Citi,93200 - 139800 ,In-Person,"Elk Grove Village, IL",93200,139800
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY",150000,200000
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA",145600,166400
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY",83000,96000
Data Scientist,Trella Health,,Remote,Remote,0,0
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote,135200,145600
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA",145600,166400
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY",150000,200000
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI",0,0
Lead Engineer - Generative AI Product Engineering (Remote-Eligible),Capital One,Full-time,Remote,"Wilmington, DE",0,0
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote,68000,191000
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY",83000,96000
Data Scientist,Trella Health,,Remote,Remote,0,0
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote,135200,145600
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA",145600,166400
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY",150000,200000
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI",0,0
"Principal Software Engineer, Machine Learning Engineering",Experis,Full-time,In-Person,"Richmond, VA",0,0
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote,68000,191000
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY",83000,96000
Data Scientist,Trella Health,,Remote,Remote,0,0
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote,135200,145600
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA",145600,166400
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY",150000,200000
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI",0,0
"(Hybrid) Assistant Vice President, Machine Learning and Advanced Analytics - San Antonio Texas",PenFed Credit Union,Full-time,In-Person,"San Antonio, TX",0,0
"Data Scientist, NLP",Ancestry,68000 - 191000 ,Remote,Remote,68000,191000
Data Scientist,Enable Data,,In-Person,"Minneapolis, MN",0,0
Data Scientist,Vibronyx,,Remote,Remote,0,0
Healthcare Data Scientist,Inovalon,,Remote,Remote,0,0
Data Scientist,Health Intelligence company LLC,,Remote,United States,0,0
Data Scientist,Cartwheel,200000 ,Remote,Remote,200000,200000
Data Scientist,Colsh Consultants,,In-Person,"Richfield, MN",0,0
Data Scientist,Grid,Full-time,In-Person,"San Francisco, CA",0,0
Data Scientist,Galaxy Technologies,83000 - 96000 ,Remote,"New York, NY",83000,96000
Data Scientist,Trella Health,,Remote,Remote,0,0
Data Scientist,Siddhi Solutions,135200 - 145600,Remote,Remote,135200,145600
Senior Data Analyst,Liberty Personnel Services,115000 ,In-Person,"Philadelphia, PA",115000,115000
Data Scientist,Neo Technologies LLC,145600 - 166400,Hybrid,"Allentown, PA",145600,166400
Senior Data Analyst,Vanguard,,In-Person,"Charlotte, NC",0,0
Front-end Developer (Graphic Design and UX/UI Focus) - NLP Space,Confidential,Full-time,Hybrid,"Redmond, WA",0,0
Data Scientist III,Conde Nast,150000 - 200000 ,In-Person,"New York, NY",150000,200000
Data Scientist,NICE,,In-Person,"Atlanta, GA",0,0
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC",107458,154924
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote,83200,93600
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote,0,0
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN",0,0
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote,103000,135000
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote,166400,187200
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote,140000,180000
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY",180000,200000
Data Scientist,PROLIM Corporation,156000 - 166400,Remote,Remote,156000,166400
Data Scientist,Context Labs,Full-time,In-Person,"Cambridge, MA",0,0
Data Scientist,Assetario,,Remote,Remote,0,0
Data Scientist,FLEETCOR,Full-time,Remote,"Atlanta, GA",0,0
Data Scientist,VitalCORE,,Remote,Remote,0,0
Principal AI/ML Engineer,CNA Insurance,Full-time,In-Person,"Chicago, IL",0,0
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY",0,0
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN",0,0
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,Mashvisor Inc.,,Remote,Remote,0,0
Data Scientist,NICE,,In-Person,"Atlanta, GA",0,0
Predictive Modeling Analyst,NJM Insurance,89000 - 113000 ,Hybrid,"Trenton, NJ",89000,113000
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC",107458,154924
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote,83200,93600
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote,0,0
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN",0,0
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote,103000,135000
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote,166400,187200
"Senior Level AI/ML Modeling, Simulation and Analysis Engineer",Peraton,112000 - 179000 ,In-Person,"Chantilly, VA",112000,179000
Data Scientist,withco,180000 - 200000 ,In-Person,"New York, NY",180000,200000
Senior Data Analyst,Curology,140000 - 180000 ,Remote,Remote,140000,180000
Data Scientist,Henry Ford Health,,In-Person,"Southfield, MI",0,0
Research Data Scientist,Swayable,Full-time,Remote,"New York, NY",0,0
Data Analyst/Scientist,Virtue Analytics,,In-Person,"Woodbury, MN",0,0
Data Scientist,Kontakt.io,Full-time,Hybrid,"New York, NY",0,0
Data Scientist,Mashvisor Inc.,,Remote,Remote,0,0
Data Scientist,NICE,,In-Person,"Atlanta, GA",0,0
Principal Data Scientist,lucid technologies,107458 - 154924 ,In-Person,"Raleigh, NC",107458,154924
Data Scientist,Kansara systems,83200 - 93600,Remote,Remote,83200,93600
Data Scientist (USA),Electra Vehicles,Full-time,Remote,Remote,0,0
Senior Data Scientist,Cargill,Full-time,Remote,"Wayzata, MN",0,0
Sports Data Scientist,Swish Analytics,103000 - 135000 ,Remote,Remote,103000,135000
Sr. Data Scientist,Pri Global Inc,166400 - 187200,Remote,Remote,166400,187200
